BLOQUE 2	1:30	1:40	0:10	Música de fondo + QR de Lovable en pantalla	Mientras llegan del almuerzo, música lo-fi y QR de Lovable en pantalla para que vayan creando cuenta	Empezar con energía relajada. Voluntarios guían a quienes llegan	Freddy + 1 voluntario	Laptop, proyector, parlante, QR impreso	FALSE
	1:40	1:45	0:05	Energizer post-almuerzo	Dinámica rápida para activar al público después de comer. Ej: Levántense y saluden a 3 personas que no conocen	Algo interactivo y físico, no charla	Freddy	Mic	FALSE
	1:45	1:48	0:03	Apertura provocadora	Levanten la mano si tienen una idea de negocio pero no saben programar... Esa excusa muere hoy.	Ir directo al grano. No presentarse con título ni hacer intro larga	Freddy	Mic	FALSE
	1:48	1:58	0:10	Live Demo: construir app del público en vivo	Pedir idea de startup random al público. Construirla en Lovable en tiempo real. Deployar y que todos la abran en su cel	Ensayar mínimo 3 veces antes. Tener video backup grabado por si falla	Freddy	Laptop + proyector	FALSE
	1:58	2:10	0:12	Setup participantes: todos abren Lovable	QR en pantalla para lovable.dev. Todos crean cuenta. Explicación rápida de interfaz (2 min). Sin laptop = emparejarse	80 personas, ~50 laptops estimados. Voluntarios asisten con problemas técnicos	Freddy + 4 voluntarios	QR en pantalla + impreso	FALSE
	2:10	2:45	0:35	Guided Build: cada uno construye su Landing Page de startup	Prompt template en pantalla que personalizan con su idea. Hero, features, pricing, formulario de registro. Música lo-fi	Tips cada 5-7 min en pantalla (colores, animaciones, fotos). Voluntarios circulan. Max 2 min por persona	Freddy + 4 voluntarios	Prompt template en pantalla, playlist Spotify	FALSE
	2:45	2:50	0:05	Check-in rápido + tips	Mostrar 2-3 builds del público en pantalla. Resolver dudas comunes. Generar hype	Social proof: Miren lo que hizo ella en 30 min sin saber programar	Freddy	Mic	FALSE
	2:50	3:20	0:30	Level Up: agregar feature con IA	Challenge: agregar chatbot inteligente, dashboard con gráficos, o flujo de usuario completo a su app	Fase del aha moment: de landing a app funcional. Voluntarios apoyan	Freddy + 4 voluntarios	Challenge en pantalla	FALSE
	3:20	3:25	0:05	Pausa / stretch	Break rápido, que se paren y estiren	Mantener música. Voluntarios ayudan a quienes están trabados			FALSE
	3:25	3:40	0:15	Showcase: 5 voluntarios presentan su app	5 voluntarios muestran su app en pantalla (3 min c/u) y explican su idea de startup al público	Hype cada demo, aplausos, ambiente de celebración	Freddy (modera)	Proyector, mic para voluntarios	FALSE
	3:40	3:45	0:05	Votación + premiación	Mano alzada: cuál startup usarían? Premiar al ganador con merch y stickers de Breakout	Tener premios listos. Puede ser Mentimeter si hay tiempo	Freddy	Merch Breakout, stickers	FALSE
	3:45	3:55	0:10	Cierre: mensaje inspiracional + recursos + CTA	Hace 2 horas no sabían programar y ahora tienen un prototipo. Recursos: deploy gratis (Vercel), dominio, pagos (Stripe). Plug Hackathon AI. CTA: compartir en redes @breakout	Dejar slide con QR a doc de recursos. Cerrar con energía alta	Freddy	Slide de recursos con QR	FALSE
DIAS ANTES				Crear cuenta Lovable + ensayar demo en vivo	Cuenta Lovable verificada. Mínimo 3 builds de prueba para el live demo	Grabar video backup del demo por si falla herramienta o internet	Freddy	Laptop	FALSE
				Preparar prompt templates + slide de recursos	Templates para: landing page, AI feature, dashboard. Slide con links a Vercel, Namecheap, Stripe	Todo en Google Doc compartible post-evento	Freddy		FALSE
				Preparar playlist + QR + video backup	Playlist Spotify lo-fi/electrónica. QR code grande para lovable.dev. Video del demo grabado		Freddy	QR impreso (varios)	FALSE
				Preparar merch/stickers para premiación	Confirmar con equipo qué merch hay disponible para premiar ganador del showcase		Freddy + equipo	Merch, stickers	FALSE
